Exercise ID,Source Type,Status,Category,Pattern Category,Pattern Signal,Text,Question,Option 1,Option 2,Option 3,Option 4,Correct Index,Explanation,Quality Score,Created At,Last Used At,Times Used,Exercise Owner,Exercise Summary,Exercise Attempts
30,curated,active,leadership,Alternativ/Procedur,Alternativ,Projektet var spännande och för att få chans att utvecklas,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Alternativ,Till,Ifrån,Intern,0,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
31,curated,active,leadership,Alternativ/Procedur,Procedur,Möjlighet till utveckling.,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Ifrån,Intern,Procedur,3,"Procedur-mönster – personen har ett specifikt syfte eller följer en bestämd väg. Nyckelord: för att hjälpa, för att lära, en anledning som leder till ett mål.",,3/9/2026 8:21pm,,0,,,
32,curated,active,leadership,Alternativ/Procedur,Procedur,För att jag gillar djur och medicin,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Procedur,Ifrån,Intern,1,"Procedur-mönster – personen har ett specifikt syfte eller följer en bestämd väg. Nyckelord: för att hjälpa, för att lära, en anledning som leder till ett mål.",,3/9/2026 8:21pm,,0,,,
33,curated,active,leadership,Alternativ/Procedur,Alternativ,Relationer och utmaningar,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Till,Ifrån,Intern,Alternativ,3,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
34,curated,active,leadership,Alternativ/Procedur,Procedur,Intresse,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Procedur,Till,Ifrån,Intern,0,"Procedur-mönster – personen har ett specifikt syfte eller följer en bestämd väg. Nyckelord: för att hjälpa, för att lära, en anledning som leder till ett mål.",,3/9/2026 8:21pm,,0,,,
35,curated,active,leadership,Alternativ/Procedur,Alternativ,Gillar att coacha människor och lösa problem!,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Alternativ,Till,Ifrån,Intern,0,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
36,curated,active,leadership,Alternativ/Procedur,Procedur,Jag vet inte om jag valde riktigt. Det blev mer så.,Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Procedur,Till,Ifrån,Intern,0,"Procedur-mönster – personen har ett specifikt syfte eller följer en bestämd väg. Nyckelord: för att hjälpa, för att lära, en anledning som leder till ett mål.",,3/9/2026 8:21pm,,0,,,
37,curated,active,leadership,Alternativ/Procedur,Alternativ,"Snygga tuttar, tight tröja.",Vilket mönster visar den här meningen? Personen beskriver varför de valde sitt arbete/relation.,Alternativ,Till,Ifrån,Intern,0,"Alternativ-mönster – personen motiveras av möjligheter, val och flexibilitet. Nyckelord: utmaning, prova, spännande, intresse.",,3/9/2026 8:21pm,,0,,,
38,curated,active,leadership,Intern/Extern,Intern,Det känns bra.,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Procedur,Intern,Syn,2,"Intern referensram – personen utgår från sin egna känsla eller bedömning. Nyckelord: ""jag känner"", ""jag är nöjd"", ""det känns"".",,3/9/2026 8:21pm,,0,,,
39,curated,active,leadership,Intern/Extern,Extern,Resultat,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Procedur,Syn,Extern,3,"Extern referensram – personen behöver yttre bekräftelse: feedback, resultat eller andras reaktioner. Nyckelord: ""feedback"", ""resultat"", ""de tycker"", ""man märker"".",,3/9/2026 8:21pm,,0,,,
40,curated,active,leadership,Intern/Extern,Intern,Utifrån hur det känns i kroppen.,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Procedur,Syn,Intern,3,"Intern referensram – personen utgår från sin egna känsla eller bedömning. Nyckelord: ""jag känner"", ""jag är nöjd"", ""det känns"".",,3/9/2026 8:21pm,,0,,,
41,curated,active,leadership,Intern/Extern,Extern,Jag får ett resultat av mitt arbete,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Extern,Alternativ,Procedur,Syn,0,"Extern referensram – personen behöver yttre bekräftelse: feedback, resultat eller andras reaktioner. Nyckelord: ""feedback"", ""resultat"", ""de tycker"", ""man märker"".",,3/9/2026 8:21pm,,0,,,
42,curated,active,leadership,Intern/Extern,Extern,Jag får feedback på enkäter och även muntligt,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Extern,Alternativ,Procedur,Syn,0,"Extern referensram – personen behöver yttre bekräftelse: feedback, resultat eller andras reaktioner. Nyckelord: ""feedback"", ""resultat"", ""de tycker"", ""man märker"".",,3/9/2026 8:21pm,,0,,,
43,curated,active,leadership,Intern/Extern,Intern,Bekräftar själv,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Intern,Alternativ,Procedur,Syn,0,"Intern referensram – personen utgår från sin egna känsla eller bedömning. Nyckelord: ""jag känner"", ""jag är nöjd"", ""det känns"".",,3/9/2026 8:21pm,,0,,,
44,curated,active,leadership,Intern/Extern,Extern,"När mina medarbetare har kul, jobbet går i rätt riktning och vi får positiv feedback från verksamheten",Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Procedur,Extern,Syn,2,"Extern referensram – personen behöver yttre bekräftelse: feedback, resultat eller andras reaktioner. Nyckelord: ""feedback"", ""resultat"", ""de tycker"", ""man märker"".",,3/9/2026 8:21pm,,0,,,
45,curated,active,leadership,Intern/Extern,Intern,"Känner mig lugn, trygg. Inte oroad eller ältande.",Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Intern,Procedur,Syn,1,"Intern referensram – personen utgår från sin egna känsla eller bedömning. Nyckelord: ""jag känner"", ""jag är nöjd"", ""det känns"".",,3/9/2026 8:21pm,,0,,,
46,curated,active,leadership,Intern/Extern,Intern,Känslan i magen,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Procedur,Syn,Intern,3,"Intern referensram – personen utgår från sin egna känsla eller bedömning. Nyckelord: ""jag känner"", ""jag är nöjd"", ""det känns"".",,3/9/2026 8:21pm,,0,,,
47,curated,active,leadership,Intern/Extern,Extern,Feedback från kollegor och egen utvärdering.,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Procedur,Extern,Syn,2,"Extern referensram – personen behöver yttre bekräftelse: feedback, resultat eller andras reaktioner. Nyckelord: ""feedback"", ""resultat"", ""de tycker"", ""man märker"".",,3/9/2026 8:21pm,,0,,,
48,curated,active,leadership,Intern/Extern,Intern,"Känner mig nöjd, eller får höra det av chef eller kollega",Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Intern,Alternativ,Procedur,Syn,0,"Intern referensram – personen utgår från sin egna känsla eller bedömning. Nyckelord: ""jag känner"", ""jag är nöjd"", ""det känns"".",,3/9/2026 8:21pm,,0,,,
49,curated,active,leadership,Intern/Extern,Intern,När jag själv är nöjd och mina arbetskamrater är nöjda.,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Intern,Procedur,Syn,1,"Intern referensram – personen utgår från sin egna känsla eller bedömning. Nyckelord: ""jag känner"", ""jag är nöjd"", ""det känns"".",,3/9/2026 8:21pm,,0,,,
50,curated,active,leadership,Intern/Extern,Intern,Jag känner mig nöjd eller får återkoppling att någon annan är nöjd.,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Procedur,Intern,Syn,2,"Intern referensram – personen utgår från sin egna känsla eller bedömning. Nyckelord: ""jag känner"", ""jag är nöjd"", ""det känns"".",,3/9/2026 8:21pm,,0,,,
51,curated,active,leadership,Intern/Extern,Extern,"Någon återkopplar det till mig, eller att jag själv känner mig nöjd.",Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Extern,Procedur,Syn,1,"Extern referensram – personen behöver yttre bekräftelse: feedback, resultat eller andras reaktioner. Nyckelord: ""feedback"", ""resultat"", ""de tycker"", ""man märker"".",,3/9/2026 8:21pm,,0,,,
52,curated,active,leadership,Intern/Extern,Extern,Andra människor är glada.,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Extern,Alternativ,Procedur,Syn,0,"Extern referensram – personen behöver yttre bekräftelse: feedback, resultat eller andras reaktioner. Nyckelord: ""feedback"", ""resultat"", ""de tycker"", ""man märker"".",,3/9/2026 8:21pm,,0,,,
53,curated,active,leadership,Intern/Extern,Extern,Vi växer med goda omdömen,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Procedur,Extern,Syn,2,"Extern referensram – personen behöver yttre bekräftelse: feedback, resultat eller andras reaktioner. Nyckelord: ""feedback"", ""resultat"", ""de tycker"", ""man märker"".",,3/9/2026 8:21pm,,0,,,
54,curated,active,leadership,Intern/Extern,Intern,Det känner jag själv och ibland får jag positiv feedback av andra,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Procedur,Intern,Syn,2,"Intern referensram – personen utgår från sin egna känsla eller bedömning. Nyckelord: ""jag känner"", ""jag är nöjd"", ""det känns"".",,3/9/2026 8:21pm,,0,,,
55,curated,active,leadership,Intern/Extern,Extern,"Bra leveranser, medarbetare trivs på jobbet",Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Procedur,Syn,Extern,3,"Extern referensram – personen behöver yttre bekräftelse: feedback, resultat eller andras reaktioner. Nyckelord: ""feedback"", ""resultat"", ""de tycker"", ""man märker"".",,3/9/2026 8:21pm,,0,,,
56,curated,active,leadership,Intern/Extern,Extern,När det flyter på,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Procedur,Syn,Extern,3,"Extern referensram – personen behöver yttre bekräftelse: feedback, resultat eller andras reaktioner. Nyckelord: ""feedback"", ""resultat"", ""de tycker"", ""man märker"".",,3/9/2026 8:21pm,,0,,,
57,curated,active,leadership,Intern/Extern,Extern,Vi har åstadkommit något bra. En förändring,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Extern,Alternativ,Procedur,Syn,0,"Extern referensram – personen behöver yttre bekräftelse: feedback, resultat eller andras reaktioner. Nyckelord: ""feedback"", ""resultat"", ""de tycker"", ""man märker"".",,3/9/2026 8:21pm,,0,,,
58,curated,active,leadership,Intern/Extern,Intern,"Jag är nöjd med min prestation, jag jar gjort undersökningarna i tid, mina mer erfarna kollegor håller med om att min arbetsgång varit korrekt",Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Intern,Alternativ,Procedur,Syn,0,"Intern referensram – personen utgår från sin egna känsla eller bedömning. Nyckelord: ""jag känner"", ""jag är nöjd"", ""det känns"".",,3/9/2026 8:21pm,,0,,,
59,curated,active,leadership,Intern/Extern,Extern,Återkoppling från anställda och chefer,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Procedur,Extern,Syn,2,"Extern referensram – personen behöver yttre bekräftelse: feedback, resultat eller andras reaktioner. Nyckelord: ""feedback"", ""resultat"", ""de tycker"", ""man märker"".",,3/9/2026 8:21pm,,0,,,
60,curated,active,leadership,Intern/Extern,Intern,Engagerad,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Intern,Procedur,Syn,1,"Intern referensram – personen utgår från sin egna känsla eller bedömning. Nyckelord: ""jag känner"", ""jag är nöjd"", ""det känns"".",,3/9/2026 8:21pm,,0,,,
61,curated,active,leadership,Intern/Extern,Intern,Jag undersöker och frågar samt värderar mig själv.,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Alternativ,Procedur,Syn,Intern,3,"Intern referensram – personen utgår från sin egna känsla eller bedömning. Nyckelord: ""jag känner"", ""jag är nöjd"", ""det känns"".",,3/9/2026 8:21pm,,0,,,
62,curated,active,leadership,Intern/Extern,Intern,Det känner jag i magen.,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Intern,Alternativ,Procedur,Syn,0,"Intern referensram – personen utgår från sin egna känsla eller bedömning. Nyckelord: ""jag känner"", ""jag är nöjd"", ""det känns"".",,3/9/2026 8:21pm,,0,,,
63,curated,active,leadership,Intern/Extern,Extern,Då har vi nära till skratt.,Hur vet personen att hen har gjort ett bra jobb? Vilket referenssystem signalerar meningen?,Extern,Alternativ,Procedur,Syn,0,"Extern referensram – personen behöver yttre bekräftelse: feedback, resultat eller andras reaktioner. Nyckelord: ""feedback"", ""resultat"", ""de tycker"", ""man märker"".",,3/9/2026 8:21pm,,0,,,
64,curated,active,communication,Sinneskommunikation,Hörsel,Resultat och insats,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Hörsel,Extern,Till,1,"Auditivt mönster – personen lyssnar och reagerar på vad som sägs. Nyckelord: ""höra"", ""återkoppling"", ""berättar"", ""positiva ordalag"".",,3/9/2026 8:21pm,,0,,,
65,curated,active,communication,Sinneskommunikation,Känsel,Be dem beskriva hur deras kärlek och relation känns i kroppen,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Känsel,Intern,Extern,Till,0,"Kinestetiskt mönster – personen känner av stämning, energi eller intuition. Nyckelord: ""märks"", ""känns"", ""humör"", ""engagemang"".",,3/9/2026 8:21pm,,0,,,
66,curated,active,communication,Sinneskommunikation,Hörsel,Resultat,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Extern,Till,Hörsel,3,"Auditivt mönster – personen lyssnar och reagerar på vad som sägs. Nyckelord: ""höra"", ""återkoppling"", ""berättar"", ""positiva ordalag"".",,3/9/2026 8:21pm,,0,,,
67,curated,active,communication,Sinneskommunikation,Syn,Detta synliggörs av våra chefer,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Syn,Intern,Extern,Till,0,"Visuellt mönster – personen observerar med ögonen: resultat, kroppsspråk, yttre tecken. Nyckelord: ""ser"", ""synliggörs"", ""observerar"".",,3/9/2026 8:21pm,,0,,,
68,curated,active,communication,Sinneskommunikation,Syn,Observerar resultat,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Syn,Intern,Extern,Till,0,"Visuellt mönster – personen observerar med ögonen: resultat, kroppsspråk, yttre tecken. Nyckelord: ""ser"", ""synliggörs"", ""observerar"".",,3/9/2026 8:21pm,,0,,,
69,curated,active,communication,Sinneskommunikation,Känsel,"Samma dvs att mina medarbetare har kul, jobbet går i rätt riktning och vi får positiv feedback från verksamheten",Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Extern,Känsel,Till,2,"Kinestetiskt mönster – personen känner av stämning, energi eller intuition. Nyckelord: ""märks"", ""känns"", ""humör"", ""engagemang"".",,3/9/2026 8:21pm,,0,,,
70,curated,active,communication,Sinneskommunikation,Känsel,"Känslan hen förmedlar i ögonen, utstrålningen",Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Extern,Känsel,Till,2,"Kinestetiskt mönster – personen känner av stämning, energi eller intuition. Nyckelord: ""märks"", ""känns"", ""humör"", ""engagemang"".",,3/9/2026 8:21pm,,0,,,
71,curated,active,communication,Sinneskommunikation,Syn,Genom egna observationer och andras.,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Extern,Syn,Till,2,"Visuellt mönster – personen observerar med ögonen: resultat, kroppsspråk, yttre tecken. Nyckelord: ""ser"", ""synliggörs"", ""observerar"".",,3/9/2026 8:21pm,,0,,,
72,curated,active,communication,Sinneskommunikation,Känsel,När de känner att de gjort ett bra arbete och uttrycker det eller det syns på annat sätt och när arbetet leder oss framåt mot gemensamt mål.,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Extern,Känsel,Till,2,"Kinestetiskt mönster – personen känner av stämning, energi eller intuition. Nyckelord: ""märks"", ""känns"", ""humör"", ""engagemang"".",,3/9/2026 8:21pm,,0,,,
73,curated,active,communication,Sinneskommunikation,Hörsel,Oftast inte. Ibland ges återkoppling på något möte om det är relevant för gruppen.,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Extern,Hörsel,Till,2,"Auditivt mönster – personen lyssnar och reagerar på vad som sägs. Nyckelord: ""höra"", ""återkoppling"", ""berättar"", ""positiva ordalag"".",,3/9/2026 8:21pm,,0,,,
74,curated,active,communication,Sinneskommunikation,Hörsel,Genom att vara insatt i andras arbete och fråga mycket om vad som händer i vardagen,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Hörsel,Extern,Till,1,"Auditivt mönster – personen lyssnar och reagerar på vad som sägs. Nyckelord: ""höra"", ""återkoppling"", ""berättar"", ""positiva ordalag"".",,3/9/2026 8:21pm,,0,,,
75,curated,active,communication,Sinneskommunikation,Känsel,Andra människor är glada.,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Känsel,Intern,Extern,Till,0,"Kinestetiskt mönster – personen känner av stämning, energi eller intuition. Nyckelord: ""märks"", ""känns"", ""humör"", ""engagemang"".",,3/9/2026 8:21pm,,0,,,
76,curated,active,communication,Sinneskommunikation,Känsel,"De bidrar till våra mål, hittar på kul saker och är glada",Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Känsel,Extern,Till,1,"Kinestetiskt mönster – personen känner av stämning, energi eller intuition. Nyckelord: ""märks"", ""känns"", ""humör"", ""engagemang"".",,3/9/2026 8:21pm,,0,,,
77,curated,active,communication,Sinneskommunikation,Känsel,"Det märks på resultatet, engagemanget och responsen från kollegor och kunder",Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Känsel,Intern,Extern,Till,0,"Kinestetiskt mönster – personen känner av stämning, energi eller intuition. Nyckelord: ""märks"", ""känns"", ""humör"", ""engagemang"".",,3/9/2026 8:21pm,,0,,,
78,curated,active,communication,Sinneskommunikation,Känsel,"Levererar resultat med rätt nivå, föregår med gott exempel",Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Extern,Känsel,Till,2,"Kinestetiskt mönster – personen känner av stämning, energi eller intuition. Nyckelord: ""märks"", ""känns"", ""humör"", ""engagemang"".",,3/9/2026 8:21pm,,0,,,
79,curated,active,communication,Sinneskommunikation,Syn,Genom att se och lyssna på omgivningen och personen i fråga,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Extern,Till,Syn,3,"Visuellt mönster – personen observerar med ögonen: resultat, kroppsspråk, yttre tecken. Nyckelord: ""ser"", ""synliggörs"", ""observerar"".",,3/9/2026 8:21pm,,0,,,
80,curated,active,communication,Sinneskommunikation,Hörsel,När det flyter på och jag hör positiva ordalag från andra kollegor,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Hörsel,Extern,Till,1,"Auditivt mönster – personen lyssnar och reagerar på vad som sägs. Nyckelord: ""höra"", ""återkoppling"", ""berättar"", ""positiva ordalag"".",,3/9/2026 8:21pm,,0,,,
81,curated,active,communication,Sinneskommunikation,Hörsel,Det har påverkat människor.,Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Hörsel,Intern,Extern,Till,0,"Auditivt mönster – personen lyssnar och reagerar på vad som sägs. Nyckelord: ""höra"", ""återkoppling"", ""berättar"", ""positiva ordalag"".",,3/9/2026 8:21pm,,0,,,
82,curated,active,communication,Sinneskommunikation,Känsel,"Dom följer en logisk arbetsgång, fatttaefattar rimliga beslut och är på bra humör (indikation på att de är nöjda)",Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Extern,Till,Känsel,3,"Kinestetiskt mönster – personen känner av stämning, energi eller intuition. Nyckelord: ""märks"", ""känns"", ""humör"", ""engagemang"".",,3/9/2026 8:21pm,,0,,,
83,curated,active,communication,Sinneskommunikation,Känsel,"Kunskap,Engagerad",Vilket sinne använder personen för att bedöma om någon annan har gjort ett bra jobb?,Intern,Extern,Till,Känsel,3,"Kinestetiskt mönster – personen känner av stämning, energi eller intuition. Nyckelord: ""märks"", ""känns"", ""humör"", ""engagemang"".",,3/9/2026 8:21pm,,0,,,
